date,month,year, pm25
2,9,2019,116
3,9,2019,154
4,9,2019,158
5,9,2019,89
6,9,2019,85
7,9,2019,83
8,9,2019,93
9,9,2019,137
10,9,2019,146
11,9,2019,159
12,9,2019,136
13,9,2019,90
14,9,2019,78
15,9,2019,102
16,9,2019,139
17,9,2019,140
18,9,2019,98
19,9,2019,68
20,9,2019,89
21,9,2019,100
22,9,2019,74
23,9,2019,91
24,9,2019,95
25,9,2019,88
26,9,2019,59
27,9,2019,45
28,9,2019,61
29,9,2019,50
30,9,2019,82
1,4,2019,133
2,4,2019,137
3,4,2019,144
4,4,2019,161
5,4,2019,170
6,4,2019,152
7,4,2019,199
8,4,2019,149
9,4,2019,155
10,4,2019,158
11,4,2019,148
12,4,2019,137
13,4,2019,122
14,4,2019,123
15,4,2019,127
16,4,2019,127
17,4,2019,63
18,4,2019,99
19,4,2019,148
20,4,2019,159
21,4,2019,147
22,4,2019,169
23,4,2019,163
24,4,2019,158
25,4,2019,167
26,4,2019,161
27,4,2019,160
28,4,2019,173
29,4,2019,175
30,4,2019,167
1,5,2019,174
2,5,2019,161
3,5,2019,178
4,5,2019,161
5,5,2019,190
6,5,2019,183
7,5,2019,188
8,5,2019,218
9,5,2019,218
10,5,2019,197
11,5,2019,184
12,5,2019,276
13,5,2019,268
14,5,2019,125
15,5,2019,147
16,5,2019,138
17,5,2019,145
18,5,2019,108
19,5,2019,159
20,5,2019,162
21,5,2019,149
22,5,2019,134
23,5,2019,159
24,5,2019,106
25,5,2019,109
26,5,2019,124
27,5,2019,124
28,5,2019,129
29,5,2019,136
30,5,2019,146
31,5,2019,155
1,6,2019,164
2,6,2019,154
3,6,2019,143
4,6,2019,130
5,6,2019,151
6,6,2019,145
7,6,2019,126
8,6,2019,132
9,6,2019,151
10,6,2019,132
11,6,2019,166
12,6,2019,129
13,6,2019,120
14,6,2019,116
15,6,2019,156
16,6,2019,117
17,6,2019,104
18,6,2019,91
19,6,2019,163
20,6,2019,102
21,6,2019,150
22,6,2019,148
23,6,2019,104
24,6,2019,75
25,6,2019,127
26,6,2019,152
27,6,2019,153
28,6,2019,136
29,6,2019,143
30,6,2019,153
1,1,2019,319
2,1,2019,328
3,1,2019,375
4,1,2019,292
5,1,2019,282
6,1,2019,227
7,1,2019,233
8,1,2019,235
9,1,2019,202
10,1,2019,209
11,1,2019,297
12,1,2019,287
13,1,2019,301
14,1,2019,158
15,1,2019,181
16,1,2019,280
17,1,2019,371
18,1,2019,283
19,1,2019,280
20,1,2019,281
21,1,2019,210
22,1,2019,119
23,1,2019,199
24,1,2019,203
25,1,2019,154
26,1,2019,169
27,1,2019,200
28,1,2019,175
29,1,2019,194
30,1,2019,250
31,1,2019,267
1,2,2019,226
2,2,2019,246
3,2,2019,205
4,2,2019,181
5,2,2019,237
6,2,2019,247
7,2,2019,138
8,2,2019,127
9,2,2019,164
10,2,2019,222
18,3,2019,124
19,3,2019,161
20,3,2019,146
21,3,2019,184
22,3,2019,99
23,3,2019,123
24,3,2019,132
25,3,2019,140
26,3,2019,142
27,3,2019,139
28,3,2019,161
29,3,2019,162
30,3,2019,160
31,3,2019,124
1,10,2018,151
2,10,2018,156
3,10,2018,125
4,10,2018,167
5,10,2018,174
6,10,2018,148
7,10,2018,157
8,10,2018,174
9,10,2018,171
10,10,2018,162
11,10,2018,134
12,10,2018,135
13,10,2018,181
14,10,2018,160
15,10,2018,177
16,10,2018,180
17,10,2018,172
18,10,2018,167
19,10,2018,182
20,10,2018,202
21,10,2018,180
22,10,2018,170
23,10,2018,164
24,10,2018,186
25,10,2018,204
26,10,2018,169
27,10,2018,242
28,10,2018,248
29,10,2018,263
30,10,2018,312
31,10,2018,249
1,11,2018,257
2,11,2018,241
3,11,2018,203
4,11,2018,146
5,11,2018,370
6,11,2018,232
7,11,2018,195
8,11,2018,357
9,11,2018,321
10,11,2018,304
11,11,2018,276
12,11,2018,287
13,11,2018,279
14,11,2018,210
15,11,2018,172
16,11,2018,209
17,11,2018,188
18,11,2018,192
19,11,2018,232
20,11,2018,249
21,11,2018,281
22,11,2018,174
23,11,2018,229
24,11,2018,169
25,11,2018,174
26,11,2018,222
27,11,2018,199
28,11,2018,209
29,11,2018,224
30,11,2018,232
1,12,2018,208
2,12,2018,177
3,12,2018,211
4,12,2018,227
5,12,2018,214
6,12,2018,232
7,12,2018,235
8,12,2018,243
9,12,2018,240
10,12,2018,288
11,12,2018,298
12,12,2018,255
13,12,2018,156
14,12,2018,173
15,12,2018,185
16,12,2018,189
17,12,2018,230
18,12,2018,271
19,12,2018,247
20,12,2018,281
21,12,2018,310
22,12,2018,359
23,12,2018,394
24,12,2018,355
25,12,2018,350
26,12,2018,277
27,12,2018,286
28,12,2018,297
29,12,2018,270
30,12,2018,304
1,7,2018,79
2,7,2018,82
3,7,2018,103
4,7,2018,118
5,7,2018,126
6,7,2018,134
7,7,2018,144
8,7,2018,144
9,7,2018,158
10,7,2018,119
11,7,2018,105
12,7,2018,122
13,7,2018,86
14,7,2018,94
15,7,2018,91
16,7,2018,97
17,7,2018,89
18,7,2018,103
19,7,2018,97
20,7,2018,103
21,7,2018,136
22,7,2018,82
23,7,2018,90
24,7,2018,101
25,7,2018,89
26,7,2018,87
27,7,2018,80
28,7,2018,96
29,7,2018,94
30,7,2018,108
31,7,2018,113
1,8,2018,113
2,8,2018,149
3,8,2018,145
4,8,2018,141
5,8,2018,143
6,8,2018,133
7,8,2018,117
8,8,2018,76
9,8,2018,81
10,8,2018,98
11,8,2018,72
12,8,2018,52
13,8,2018,68
14,8,2018,100
15,8,2018,102
16,8,2018,73
17,8,2018,82
18,8,2018,71
19,8,2018,114
20,8,2018,167
21,8,2018,38
23,8,2018,61
24,8,2018,44
25,8,2018,43
26,8,2018,43
27,8,2018,52
28,8,2018,74
29,8,2018,56
30,8,2018,84
31,8,2018,115
1,9,2018,106
3,9,2018,113
4,9,2018,124
5,9,2018,92
6,9,2018,99
7,9,2018,83
8,9,2018,64
9,9,2018,46
10,9,2018,59
12,9,2018,7
13,9,2018,17
14,9,2018,103
15,9,2018,83
16,9,2018,102
17,9,2018,137
18,9,2018,132
19,9,2018,139
20,9,2018,149
21,9,2018,100
22,9,2018,54
23,9,2018,79
24,9,2018,54
25,9,2018,59
26,9,2018,98
27,9,2018,144
28,9,2018,143
29,9,2018,152
30,9,2018,130
1,4,2018,138
2,4,2018,152
3,4,2018,160
4,4,2018,161
5,4,2018,204
6,4,2018,145
7,4,2018,88
8,4,2018,112
9,4,2018,105
10,4,2018,149
11,4,2018,106
12,4,2018,86
13,4,2018,124
14,4,2018,136
15,4,2018,157
16,4,2018,161
17,4,2018,133
18,4,2018,126
19,4,2018,160
20,4,2018,155
21,4,2018,193
22,4,2018,122
23,4,2018,158
24,4,2018,175
25,4,2018,148
26,4,2018,180
27,4,2018,169
28,4,2018,162
29,4,2018,162
30,4,2018,155
1,5,2018,119
2,5,2018,126
3,5,2018,116
4,5,2018,98
5,5,2018,134
6,5,2018,143
7,5,2018,159
8,5,2018,119
9,5,2018,144
10,5,2018,163
11,5,2018,181
12,5,2018,201
13,5,2018,161
14,5,2018,109
15,5,2018,147
16,5,2018,146
17,5,2018,167
18,5,2018,163
19,5,2018,158
20,5,2018,145
21,5,2018,137
22,5,2018,158
23,5,2018,180
24,5,2018,173
25,5,2018,145
26,5,2018,146
27,5,2018,151
28,5,2018,165
29,5,2018,163
30,5,2018,131
31,5,2018,139
1,6,2018,145
2,6,2018,104
3,6,2018,121
4,6,2018,135
5,6,2018,107
6,6,2018,123
7,6,2018,146
8,6,2018,148
9,6,2018,119
10,6,2018,127
11,6,2018,148
12,6,2018,208
13,6,2018,286
14,6,2018,260
15,6,2018,195
16,6,2018,204
18,6,2018,107
19,6,2018,113
20,6,2018,144
21,6,2018,149
22,6,2018,145
23,6,2018,152
24,6,2018,128
25,6,2018,148
26,6,2018,119
27,6,2018,119
28,6,2018,71
29,6,2018,97
30,6,2018,107
1,1,2018,389
2,1,2018,420
3,1,2018,343
4,1,2018,290
5,1,2018,341
6,1,2018,323
7,1,2018,293
8,1,2018,233
9,1,2018,305
10,1,2018,270
11,1,2018,236
12,1,2018,249
13,1,2018,258
14,1,2018,259
15,1,2018,297
16,1,2018,200
17,1,2018,284
18,1,2018,332
19,1,2018,358
20,1,2018,267
21,1,2018,231
22,1,2018,251
23,1,2018,256
24,1,2018,229
25,1,2018,207
26,1,2018,238
27,1,2018,251
28,1,2018,273
29,1,2018,261
30,1,2018,225
31,1,2018,206
1,2,2018,210
2,2,2018,219
3,2,2018,179
4,2,2018,204
5,2,2018,222
6,2,2018,216
7,2,2018,193
8,2,2018,223
9,2,2018,259
10,2,2018,227
11,2,2018,180
12,2,2018,154
13,2,2018,167
14,2,2018,144
15,2,2018,152
16,2,2018,169
20,2,2018,156
21,2,2018,193
22,2,2018,205
23,2,2018,186
24,2,2018,198
25,2,2018,170
26,2,2018,131
27,2,2018,153
28,2,2018,217
1,3,2018,170
2,3,2018,175
3,3,2018,167
4,3,2018,145
5,3,2018,140
6,3,2018,140
7,3,2018,147
8,3,2018,168
9,3,2018,178
10,3,2018,141
11,3,2018,160
12,3,2018,171
13,3,2018,154
14,3,2018,157
15,3,2018,143
16,3,2018,161
17,3,2018,132
18,3,2018,142
19,3,2018,136
20,3,2018,156
21,3,2018,182
22,3,2018,147
23,3,2018,125
24,3,2018,137
25,3,2018,152
26,3,2018,146
27,3,2018,143
28,3,2018,143
29,3,2018,147
30,3,2018,143
31,3,2018,158
1,10,2017,144
2,10,2017,124
3,10,2017,143
4,10,2017,157
5,10,2017,148
6,10,2017,140
7,10,2017,155
8,10,2017,176
9,10,2017,170
10,10,2017,175
11,10,2017,178
12,10,2017,188
13,10,2017,190
14,10,2017,183
15,10,2017,219
16,10,2017,195
17,10,2017,198
18,10,2017,207
19,10,2017,224
20,10,2017,524
21,10,2017,290
22,10,2017,217
23,10,2017,200
24,10,2017,215
25,10,2017,240
26,10,2017,207
27,10,2017,213
28,10,2017,229
29,10,2017,239
30,10,2017,260
20,12,2017,405
21,12,2017,413
22,12,2017,273
23,12,2017,196
24,12,2017,234
25,12,2017,347
26,12,2017,309
27,12,2017,284
28,12,2017,317
29,12,2017,291
30,12,2017,347
31,12,2017,370
1,7,2017,104
2,7,2017,66
3,7,2017,110
4,7,2017,119
5,7,2017,125
6,7,2017,122
7,7,2017,115
8,7,2017,112
9,7,2017,133
10,7,2017,104
11,7,2017,98
12,7,2017,70
13,7,2017,67
14,7,2017,76
15,7,2017,80
17,7,2017,88
18,7,2017,110
19,7,2017,122
20,7,2017,86
21,7,2017,66
22,7,2017,59
23,7,2017,66
24,7,2017,59
25,7,2017,64
26,7,2017,65
27,7,2017,68
28,7,2017,76
29,7,2017,84
30,7,2017,39
31,7,2017,58
1,8,2017,58
2,8,2017,80
3,8,2017,78
4,8,2017,108
5,8,2017,134
6,8,2017,149
7,8,2017,135
8,8,2017,108
9,8,2017,121
10,8,2017,119
11,8,2017,72
12,8,2017,54
13,8,2017,65
14,8,2017,75
15,8,2017,86
16,8,2017,91
17,8,2017,100
18,8,2017,108
19,8,2017,96
20,8,2017,73
21,8,2017,76
24,8,2017,141
25,8,2017,146
11,9,2017,128
12,9,2017,111
13,9,2017,136
14,9,2017,152
15,9,2017,128
16,9,2017,134
17,9,2017,116
18,9,2017,120
19,9,2017,136
20,9,2017,147
21,9,2017,115
22,9,2017,43
23,9,2017,38
24,9,2017,89
25,9,2017,127
26,9,2017,144
27,9,2017,157
28,9,2017,154
29,9,2017,163
30,9,2017,151
1,4,2017,157
2,4,2017,145
3,4,2017,118
4,4,2017,108
5,4,2017,83
6,4,2017,114
7,4,2017,216
8,4,2017,176
9,4,2017,83
10,4,2017,107
11,4,2017,137
12,4,2017,149
13,4,2017,167
14,4,2017,187
15,4,2017,174
16,4,2017,211
17,4,2017,178
18,4,2017,189
19,4,2017,150
20,4,2017,155
21,4,2017,174
22,4,2017,174
23,4,2017,162
24,4,2017,162
25,4,2017,147
26,4,2017,96
27,4,2017,131
28,4,2017,137
29,4,2017,99
1,5,2017,96
2,5,2017,161
3,5,2017,179
4,5,2017,145
5,5,2017,219
6,5,2017,206
7,5,2017,195
8,5,2017,186
9,5,2017,153
10,5,2017,138
11,5,2017,132
12,5,2017,219
13,5,2017,170
14,5,2017,162
